source_english,reference_hindi,predicted_hindi
This really is a must for our nation.,यह हमारे देश के लिए वास्तव में अनिवार्य वस्तु है।,यह वास्तव में हमारे देश के लिए आवश्यक है.
"""It is not a matter of something we might choose to do,"" said Hasan Ikhrata, executive director of the Southern California Assn. of Governments, which is planning for the state to start tracking miles driven by every California motorist by 2025.","""यह हमारे द्वारा चुने या नहीं चुने जाने का विषय नहीं है"" यह कहना है हसन इखराता का जो दक्षिण कैलीफोर्निया सरकार संघ के कार्यकारी निदेशक हैं, जो वर्ष 2025 तक कैलीफोर्निया में मोटर-चालकों द्वारा तय किए गए प्रत्येक मील को ट्रैक करने की शुरुआत करने की योजना बना रहा है।",सदर्न कैलिफोर्निया एसोसिएशन ऑफ गवर्नमेंट्स के कार्यकारी निदेशक हसन इखराता ने कहा कि 2025 तक कैलिफोर्निया के प्रत्येक मोटर चालक द्वारा चलाए जाने वाले मीलों का पता लगाना शुरू करने की योजना बना रहे हैं.
There is going to be a change in how we pay these taxes.,हमारे द्वारा कर भुगतान किए जाने के तरीके में परिवर्तन होने जा रहा है।,हम इन करों के भुगतान के तरीके में बदलाव करने जा रहे हैं.
The technology is there to do it.,ऐसा करने के लिए प्रौद्योगिकी है।,ऐसा करने के लिए तकनीक मौजूद है.
"The push comes as the country's Highway Trust Fund, financed with taxes Americans pay at the gas pump, is broke.","ऐसा होने का मुख्य कारण यह है कि देश का हाईवे ट्रस्ट फ़ंड लगभग दिवालिया हो गया है, जिसका वित्त-पोषण अमेरिकी नागरिकों द्वारा गैस पम्प पर किए जाने वाले करों के भुगतान से होता है।",दबाव तब आता है जब गैस पंप पर अमेरिकियों द्वारा भुगतान किए जाने वाले करों से वित्तपोषित देश का राजमार्ग न्यास कोष टूट जाता है.
Americans don't buy as much gas as they used to.,अमेरिकी लोग अब पहले जितनी गैस नहीं खरीदते।,अमेरिकी लोग उतनी गैस नहीं खरीदते जितनी वे पहले खरीदते थे.
Cars get many more miles to the gallon.,अब एक गैलन गैस में कार पहले से अधिक मील चलती है।,कारें गैलन तक कई मील की दूरी तय करती हैं.
"The federal tax itself, 18.4 cents per gallon, hasn't gone up in 20 years.","फेडरल टैक्स में पिछले 20 वर्षों में कोई बढ़ोतरी नहीं हुई, जो 18.4 सेंट प्रति गैलन है।",पिछले 20 वर्षों में संघीय कर में 18.4 सेंट प्रति गैलन की वृद्धि नहीं हुई है.
Politicians are loath to raise the tax even one penny when gas prices are high.,गैस के उच्च मूल्य होने के कारण राजनेता टैक्स में एक पैसा भी वृद्धि करने से परहेज करते हैं।,राजनेता गैस की कीमतें अधिक होने पर एक पैसा भी कर बढ़ाने से कतराते हैं.
"""The gas tax is just not sustainable,"" said Lee Munnich, a transportation policy expert at the University of Minnesota.","मिनेसोटा विश्वविद्यालय में परिवहन नीति विशेषज्ञ ली मुनिख कहते हैं, ""गैस कर बिल्कुल संवहनीय नहीं है।""",मिनेसोटा विश्वविद्यालय के परिवहन नीति विशेषज्ञ ली मुनिच ने कहा.
His state recently put tracking devices on 500 cars to test out a pay-by-mile system.,उनके राज्य ने प्रति-मील भुगतान प्रणाली का परीक्षण करने के लिए हाल ही में 500 कारों में ट्रैकिंग डिवाइस लगाई है।,उनके राज्य ने हाल ही में 500 कारों पर ट्रैकिंग उपकरण लगाए हैं ताकि एक पे-बाइ-माइल प्रणाली का परीक्षण किया जा सके.
"""This works out as the most logical alternative over the long term,"" he said.","वे कहते हैं, ""दीर्घकाल में यह सबसे अधिक तर्कपूर्ण विकल्प के रूप में काम करेगा।""",उन्होंने कहा कि यह दीर्घकालिक रूप में सबसे तार्किक विकल्प के रूप में काम करता है.
Wonks call it a mileage-based user fee.,वॉन्क्स इसे माइलेज-आधारित उपयोगकर्ता शुल्क कहते हैं।,वोंक्स इसे माइलेज आधारित उपयोगकर्ता शुल्क कहते हैं.
"It is no surprise that the idea appeals to urban liberals, as the taxes could be rigged to change driving patterns in ways that could help reduce congestion and greenhouse gases, for example.","यह आश्चर्य की बात नहीं है कि यह विचार शहरी उदारवादियों को अच्छा लग रहा है, क्योंकि इससे, उदाहरण के लिए कार चलाने के तौर-तरीके में परिवर्तन करने के लिए करों में बदलाव किया जा सकता है, जो जाम कम करने तथा ग्रीनहाउस गैस कम करने में सहायता कर सकता है।",यह कोई आश्चर्य की बात नहीं है कि यह विचार शहरी उदारवादी लोगों को आकर्षित करता है क्योंकि उदाहरण के लिए करों में धांधली की जा सकती है ताकि ड्राइविंग पैटर्न को उन तरीकों से बदला जा सके जो भीड़भाड़ और ग्रीनहाउस गैसों को कम करने में मदद कर सकते हैं.
California planners are looking to the system as they devise strategies to meet the goals laid out in the state's ambitious global warming laws.,कैलीफोर्निया के योजनाकार इस सिस्टम के लिए उत्सुक हैं जबकि वे राज्य के महात्वाकांक्षी ग्लोबल वार्मिंग कानूनों में निर्धारित लक्ष्य पूर्ण करने के लिए रणनीतियाँ विकसित कर रहे हैं।,कैलिफोर्निया के योजनाकार इस प्रणाली की ओर देख रहे हैं क्योंकि वे राज्य के महत्वाकांक्षी ग्लोबल वार्मिंग कानूनों में निर्धारित लक्ष्यों को पूरा करने के लिए रणनीतियां तैयार कर रहे हैं.
"But Rep. Bill Shuster (R-Pa.), chairman of the House Transportation Committee, has said he, too, sees it as the most viable long-term alternative.","लेकिन गृह परिवहन समिति के अध्यक्ष, रिप. बिल शुस्टर (आ.-पी.ए.) भी ब्लैक बॉक्स को सबसे व्यवहार्य दीर्घकालिक विकल्प मानते हैं।",लेकिन हाउस ट्रांसपोर्टेशन कमेटी के अध्यक्ष बिल शस्टर ने कहा है कि वह भी इसे सबसे व्यवहार्य दीर्घकालिक विकल्प के रूप में देखते हैं.
The free marketeers at the Reason Foundation are also fond of having drivers pay per mile.,रीजन फ़ाउंडेशन में स्वतंत्र विक्रेता भी चालक द्वारा प्रति मील भुगतान के पक्ष में हैं।,रीज़न फाउंडेशन के मुक्त विपणक भी चालकों को प्रति मील भुगतान करने के शौकीन हैं.
"""This is not just a tax going into a black hole,"" said Adrian Moore, vice president of policy at Reason.","रीजन में पॉलिसी के उपाध्यक्ष, एड्रियन मूर ने कहा, ""यह मात्र ऐसा कर नहीं है जो अंधे कुएँ में जा रहा है।""","रीज़न में नीति के उपाध्यक्ष एड्रियन मूर ने कहाः "" यह सिर्फ ब्लैक होल में जाने वाला कर नहीं है. """
People are paying more directly into what they are getting.,"लोग जो चीज प्राप्त कर रहे हैं, उसके लिए अधिक प्रत्यक्ष रूप से भुगतान कर रहे हैं।",लोग जो कुछ उन्हें मिल रहा है उसमें अधिक प्रत्यक्ष रूप से भुगतान कर रहे हैं.
"The movement is also bolstered by two former U.S. Transportation secretaries, who in a 2011 report urged Congress to move in the pay-per-mile direction.","इस अभियान को दो भूतपूर्व अमेरिकी परिवहन सचिवों ने भी समर्थन दिया है, जिन्होंने वर्ष 2011 में अपनी रिपोर्ट में कांग्रेस से प्रति-मील भुगतान की दिशा में आगे बढ़ने का अनुग्रह किया था।",इस आंदोलन को दो पूर्व यू. एस. परिवहन सचिवों द्वारा भी बढ़ावा दिया गया है. जिन्होंने 2011 की एक रिपोर्ट में कांग्रेस से प्रति मील भुगतान की दिशा में आगे बढ़ने का आग्रह किया.
"The U.S. Senate approved a $90-million pilot project last year that would have involved about 10,000 cars.","यू.एस. सीनेट ने पिछले वर्ष 90-मिलियन डॉलर की परीक्षण परियोजना स्वीकृत की थी, जिसमें 10,000 कारें शामिल हो गई होतीं।","अमेरिकी सीनेट ने पिछले साल 90 मिलियन डॉलर की पायलट परियोजना को मंजूरी दी जिसमें लगभग 10,000 कारें शामिल होतीं."
"But the House leadership killed the proposal, acting on concerns of rural lawmakers representing constituents whose daily lives often involve logging lots of miles to get to work or into town.","लेकिन ग्रामीण विधि-निर्माताओं की चिंताओं पर काम करते हुए, जो ऐसे व्यक्तियों का प्रतिनिधि कर रहे थे जिन्हें रोजाना काम पर जाने अथवा शहर में जाने के लिए बहुत अधिक मील चलना पड़ता है, सदन के नेतृत्व ने उस प्रस्ताव को वहीं पर समाप्त कर दिया।",लेकिन सदन के नेतृत्व ने इस प्रस्ताव को समाप्त कर दिया और ग्रामीण सांसदों की चिंताओं पर कार्य किया जो उन घटकों का प्रतिनिधित्व करते हैं जिनके दैनिक जीवन में अक्सर काम पर जाने के लिए या शहर में जाने के लिए कई मील की दूरी तय करना पड़ता है.
Several states and cities are nonetheless moving ahead on their own.,फिर भी बहुत से राज्य और शहर खुद-ब-खुद इस दिशा में आगे बढ़ रहे हैं।,कई राज्य और शहर अभी भी अपने दम पर आगे बढ़ रहे हैं.
"The most eager is Oregon, which is enlisting 5,000 drivers in the country's biggest experiment.","इसमें सबसे अधिक इच्छुक ऑरेगोन है, जिसने देश के सबसे बड़े प्रयोग में 5,000 चालक सूचीबद्ध किए हैं।","सबसे अधिक उत्सुक ओरेगन है जो देश के सबसे बड़े प्रयोग में 5,000 चालकों को शामिल कर रहा है."
Those drivers will soon pay the mileage fees instead of gas taxes to the state.,ये चालक जल्द ही राज्य को गैस कर के बजाय माइलेज शुल्क का भुगतान करेंगे।,वे चालक जल्द ही राज्य को गैस कर के बजाय माइलेज शुल्क का भुगतान करेंगे.
Nevada has already completed a pilot.,नेवाडा ने पहले ही प्रारंभिक परीक्षण पूर्ण कर लिया है।,नेवादा पहले ही एक पायलट पूरा कर चुका है.
New York City is looking into one.,न्यू यॉर्क शहर भी इस दिशा में आगे बढ़ रहा है।,न्यूयॉर्क शहर एक की जांच कर रहा है.
Illinois is trying it on a limited basis with trucks.,इलिनोइस सीमित आधार पर ट्रकों के साथ आज़माइश कर रहा है।,इलिनोइस ट्रकों के साथ सीमित आधार पर इसकी कोशिश कर रहा है.
"And the I-95 Coalition, which includes 17 state transportation departments along the Eastern Seaboard (including Maryland, Pennsylvania, Virginia and Florida), is studying how they could go about implementing the change.","तथा आई-95 गठबंधन, जिसमें पूर्वी सीबोर्ड के साथ के 17 राज्य परिवहन विभाग (मेरीलैंड, पेनसिलवेनिया, वर्जीनिया तथा फ्लोरिडा समेत) शामिल हैं, इस बात का अध्ययन कर रहे हैं कि वे इस परिवर्तन का किस तरह क्रियान्वयन कर सकते हैं।",और I-95 कोएलिशन जिसमें पूर्वी सीबोर्ड के साथ 17 राज्य परिवहन विभाग शामिल हैं ( मैरीलैंड
The concept is not a universal hit.,इस विचार को सभी जगहों पर समर्थन नहीं मिला।,यह अवधारणा सार्वभौमिक हिट नहीं है.
"In Nevada, where about 50 volunteers' cars were equipped with the devices not long ago, drivers were uneasy about the government being able to monitor their every move.","नेवाडा में, जहाँ कुछ ही समय पहले 50 स्वैच्छिक कार चालकों की कारों पर इस डिवाइस को लगाया गया था, चालक इस बात को सोच कर बहुत अधीर थे कि सरकार उनके प्रत्येक कदम को मॉनीटर कर सकती है।",नेवादा में जहां कुछ ही समय पहले लगभग 50 स्वयंसेवकों की कारें उपकरणों से लैस थीं
"""Concerns about Big Brother and those sorts of things were a major problem,"" said Alauddin Khan, who directs strategic and performance management at the Nevada Department of Transportation.","नेवाडा परिवहन विभाग में रणनीतिक तथा कार्य-निष्पादन प्रबन्धन को निर्देशित करने वाले, अलाउद्दीन खान कहते हैं ""बिग ब्रदर तथा उसी प्रकार की अन्य चीजों के बारे में चिंता प्रमुख समस्या थी।""","नेवादा परिवहन विभाग में रणनीतिक और प्रदर्शन प्रबंधन का निर्देशन करने वाले अलाउद्दीन खान ने कहाः "" बिग ब्रदर और इस तरह की चीजों के बारे में चिंता एक बड़ी समस्या थी."
It was not something people wanted.,"यह ऐसी चीज नहीं है, जिसे लोग चाहते थे।",यह कुछ ऐसा नहीं था जो लोग चाहते थे.
"As the trial got underway, the ACLU of Nevada warned on its website: ""It would be fairly easy to turn these devices into full-fledged tracking devices.""","परीक्षण के आगे बढ़ने के साथ ही, नेवाडा के ए.सी.एल.यू. ने अपनी वेबसाइट पर चेतावनी दी थीः ""इन डिवाइस को पूर्ण ट्रैकिंग डिवाइस में परिवर्तित करना काफी हद आसान होगा।""","जैसे ही परीक्षण चल रहा था. नेवादा के एसीएलयू ने अपनी वेबसाइट पर चेतावनी दीः "" इन उपकरणों को पूर्ण ट्रैकिंग उपकरणों में बदलना काफी आसान होगा."
"There is no need to build an enormous, unwieldy technological infrastructure that will inevitably be expanded to keep records of individuals' everyday comings and goings.","विशाल, अप्रबंधनीय प्रौद्योगिकी ढाँचा-संरचना विकसित करने की कोई आवश्यकता नहीं है, जिसे प्रत्येक व्यक्ति के रोजाना आने-जाने का रिकॉर्ड रखने के लिए अवश्यंभावी रूप से फैलाना पड़े।",एक विशाल और भारी तकनीकी बुनियादी ढांचे के निर्माण की कोई आवश्यकता नहीं है जिसका अनिवार्य रूप से विस्तार किया जाएगा ताकि लोगों के रोजमर्रा के आने- जाने का रिकॉर्ड रखा जा सके.
"Nevada is among several states now scrambling to find affordable technology that would allow the state to keep track of how many miles a car is being driven, but not exactly where and at what time.","नेवाडा उन बहुत से राज्यों में से है, जो वहनीय प्रौद्योगिकी प्राप्त करने के लिए हरसंभव प्रयास कर रहा है, जिसकी सहायता से राज्य इस बात का विवरण प्राप्त कर सके कि कार कितने मील प्रतिदिन चल रही है, लेकिन यह नहीं कि वह कहां और किस समय चल रही है।",नेवादा उन कई राज्यों में से एक है जो अब किफायती तकनीक की खोज में लगे हुए हैं जो राज्य को यह पता लगाने में सक्षम बनाएँगी कि एक कार कितने मील की दूरी तक चलाई जा रही है. लेकिन यह नहीं कि वास्तव में कहाँ और किस समय चलाई जा रही है.
"If you can do that, Khan said, the public gets more comfortable.","खान ने कहा कि यदि आप ऐसा कर सकते हैं, तो लोग अधिक सहज महसूस कर सकते हैं।",खान ने कहा कि अगर आप ऐसा कर सकते हैं तो जनता अधिक सहज हो जाती है.
The hunt for that technology has led some state agencies to a small California startup called True Mileage.,इस प्रौद्योगिकी की तलाश ने कुछ राज्य एजेन्सियों को ट्रू माइलेज नामक छोटे कैलीफोर्निया स्टार्ट-अप के पास पहुंचाया।,उस तकनीक की खोज ने कुछ राज्य एजेंसियों को ट्रू माइलेज नामक एक छोटे से कैलिफोर्निया स्टार्टअप के लिए प्रेरित किया है.
The firm was not originally in the business of helping states tax drivers.,यह फर्म मूल रूप से राज्य कर चालकों की सहायता करने के व्यवसाय में नहीं थी।,यह फर्म मूल रूप से राज्य कर चालकों की सहायता करने के व्यवसाय में नहीं थी.
"It was seeking to break into an emerging market in auto insurance, in which drivers would pay based on their mileage.","यह ऑटो बीमा के उभरते हुए बाजार में प्रवेश करने का प्रयास कर रही थी, जिसमें चालकों को अपनी माइलेज के आधार पर भुगतान करना था।",यह वाहन बीमा में एक उभरते हुए बाजार में प्रवेश करने की कोशिश कर रहा था. जिसमें चालक अपने माइलेज के आधार पर भुगतान करेंगे.
"But the devices it is testing appeal to highway planners because they don't use GPS and deliver a limited amount of information, uploaded periodically by modem.","लेकिन यह जिस डिवाइस का परीक्षण कर रही है, वह हाईवे योजनाकारों को अच्छी लगी, क्योंकि उसमें जी.पी.एस. का उपयोग नहीं होता तथा बहुत सीमित सूचना प्रदान करती है, जो निश्चित समय अन्तराल पर मॉडम द्वारा अपलोड होती है।",लेकिन जिन उपकरणों का यह परीक्षण कर रहा है वे राजमार्ग योजनाकारों को आकर्षित करते हैं क्योंकि वे जीपीएस का उपयोग नहीं करते हैं और सीमित मात्रा में जानकारी प्रदान करते हैं.
"""People will be more willing to do this if you do not track their speed and you do not track their location,"" said Ryan Morrison, chief executive of True Mileage.","ट्रू माइलेज के मुख्य अधिशासी रेयान मॉरिसन ने कहा, ""यदि आप लोगों की गति और उनके स्थान को ट्रैक नहीं करते तो वे इस तरीके को अपनाने में अधिक इच्छुक होंगे।""","ट्रु माइलेज के मुख्य कार्यकारी रेयान मॉरिसन ने कहा. "" यदि आप उनकी गति को ट्रैक नहीं करते हैं और आप उनके स्थान को ट्रैक नहीं करते हैं तो लोग ऐसा करने के लिए अधिक इच्छुक होंगे. """
There have been some big mistakes in some of these state pilot programs.,राज्य के इन प्रारंभिक कार्यक्रमों में कुछ बड़ी गलतियाँ हुई हैं।,इनमें से कुछ राज्य प्रायोगिक कार्यक्रमों में कुछ बड़ी गलतियां हुई हैं.
There are a lot less expensive and less intrusive ways to do this.,ऐसा करने के लिए बहुत कम खर्चीले तथा कम हस्तक्षेप करने वाले तरीके भी हैं।,ऐसा करने के लिए बहुत कम खर्चीले और कम घुसपैठ करने वाले तरीके हैं.
"In Oregon, planners are experimenting with giving drivers different choices.","ऑरेगॉन में, योजनाकार चालकों को भिन्न-भिन्न विकल्प देने का प्रयोग कर रहे हैं।",ओरेगन में योजनाकार चालकों को विभिन्न विकल्प देने का प्रयोग कर रहे हैं.
They can choose a device with or without GPS.,वे जी.पी.एस. युक्त या बिना जी.पी.एस. की डिवाइस चुन सकते हैं।,वे जीपीएस के साथ या उसके बिना एक उपकरण चुन सकते हैं.
"Or they can choose not to have a device at all, opting instead to pay a flat fee based on the average number of miles driven by all state residents.","या फिर से कोई भी डिवाइस न लेना चुन सकते हैं, बल्कि राज्य के निवासियों द्वारा तय किए जाने वाले औसत मीलों के आधार पर निर्धारित शुल्क देना चुन सकते हैं।",या वे यह चुन सकते हैं कि उनके पास कोई उपकरण ही नहीं है और वे राज्य के सभी निवासियों द्वारा संचालित मीलों की औसत संख्या के आधार पर एक सपाट शुल्क का भुगतान करने का विकल्प चुन सकते हैं.
"Other places are hoping to sell the concept to a wary public by having the devices do more, not less.",अन्य स्थानों को आशा है कि डिवाइस में कम की बजाय और अधिक सुविधा प्रदान करके चिंतित नागरिकों को यह अवधारण बेची जा सकती है।,अन्य स्थान इस अवधारणा को एक सतर्क जनता को बेचने की उम्मीद कर रहे हैं ताकि उपकरणों को अधिक या कम नहीं किया जा सके.
"In New York City, transportation officials are seeking to develop a taxing device that would also be equipped to pay parking meter fees, provide ""pay-as-you-drive"" insurance, and create a pool of real-time speed data from other drivers that motorists could use to avoid traffic.","न्यू यॉर्क शहर में, परिवहन अधिकारी ऐसी टैक्सिंग डिवाइस विकसित करने का प्रयास कर रहे हैं, जिसमें पार्किंग मीटर शुल्क का भुगतान करने की सुविधा भी होगी, ""अपने ड्राइव के अनुसार भुगतान"" बीमा प्रदान करेगी, तथा अन्य चालकों से वास्तविक समय का गति डेटा का संग्रह निर्मित करेगी जिसका उपयोग मोटर-चालक ट्रैफिक से बचने के लिए कर सकेंगे।",न्यूयार्क शहर में परिवहन अधिकारी एक ऐसा कर लगाने वाला उपकरण विकसित करने की कोशिश कर रहे हैं जो पार्किंग मीटर शुल्क का भुगतान करने के लिए भी सुसज्जित हो सकता है. यह वाहन चलाने के लिए भुगतान के रूप में बीमा प्रदान करता है और अन्य चालकों से वास्तविक समय गति डेटा का एक पूल तैयार करता है जिसका उपयोग वाहन चालक यातायात से बचने के लिए कर सकते हैं.
"""Motorists would be attracted to participate because of the value of the benefits it offers to them,"" says a city planning document.","शहर नियोजन दस्तावेज में उल्लेख किया गया है, ""मोटर-चालक इससे प्राप्त होने वाले लाभों के कारण इसमें सहभागिता के लिए आकर्षित होंगे।""",एक नगर नियोजन दस्तावेज में कहा गया है कि मोटर चालकों को इसमें भाग लेने के लिए आकर्षित किया जाएगा क्योंकि इससे उन्हें जो लाभ मिलता है उसके मूल्य की वजह से.
"Some transportation planners, though, wonder if all the talk about paying by the mile is just a giant distraction.","यद्यपि, कुछ परिवहन योजनाकारों को आश्चर्य होता है कि शायद मील के अनुसार भुगतान पर सारी चर्चा बड़ा विकर्षण है।",लेकिन कुछ परिवहन योजनाकारों को आश्चर्य होता है कि क्या एक मील के हिसाब से भुगतान के बारे में सभी बातें केवल एक विशाल व्याकुलता है.
"At the Metropolitan Transportation Commission in the San Francisco Bay Area, officials say Congress could very simply deal with the bankrupt Highway Trust Fund by raising gas taxes.",सैन फ्रैन्सिस्को खाड़ी क्षेत्र में मेट्रोपॉलिटन परिवहन आयोग ने कहा है कि कांग्रेस गैस टैक्स में वृद्धि करके दिवालिया हाईवे ट्रस्ट फ़ंड की समस्या से बहुत आसानी से निपट सकती है।,सैन फ़्रांसिस्को बे एरिया में मेट्रोपॉलिटन ट्रांसपोर्टेशन कमीशन के अधिकारियों का कहना है कि कांग्रेस गैस करों को बढ़ाकर दिवालिया हाईवे ट्रस्ट फंड से बहुत आसानी से निपट सकती है.
